Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inches,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_pane
Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5208,978,Low,False,True
Dell,3,1,1,3,15.600000000000001,0.6896551724137931,4,256,4.8411,634,Low,True,False
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.8411,946,Low,True,False
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,128,2.6846099999999997,1244,Low,False,True
HP,4,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.202954999999999,837,Low,True,False
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.8411,1016,Low,True,False
HP,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.62105,1117,Low,True,False
Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.8411,866,Low,False,True
Dell,3,1,1,5,15.600000000000001,0.8620689655172414,4,256,5.06115,812,Low,True,False
Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.8411,1068,Low,False,True
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.687065,975,Low,True,False
HP,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.202954999999999,558,Low,True,False
Asus,3,2,2,3,15.600000000000001,0.6896551724137931,4,256,4.401,527,Low,True,False
Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7408499999999996,1117,Low,True,False
Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0806999999999998,1195,Low,True,False
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.09293,876,Low,True,False
Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0806999999999998,1213,Low,False,True
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.8411,1105,Low,True,False
Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.136939999999999,1392,Low,False,True
HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.5868149999999996,1092,Low,True,False
HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.026915,888,Low,False,True
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.31298,761,Low,True,False
Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.6626049999999997,2095,Medium,False,True
Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.831325,1518,Low,True,False
Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.750625,1333,Low,True,False
Dell,3,1,2,3,15.600000000000001,0.6896551724137931,4,256,4.8411,616,Low,True,False
Asus,3,3,1,3,15.600000000000001,0.8275862068965517,6,256,4.401,733,Low,True,False
HP,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.202954999999999,913,Low,True,False
HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0366899999999997,1421,Low,False,True
HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.097840987124463,837,Low,False,True
Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.86065,1515,Low,False,True
Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.47679,1880,Medium,False,True
Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.6626049999999997,2069,Medium,False,True
Asus,3,3,1,7,15.600000000000001,0.6206896551724138,8,256,3.7408499999999996,1420,Low,True,False
HP,3,2,1,5,17.3,0.5517241379310345,8,256,5.50125,1179,Low,True,False
Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5208,1123,Low,False,True
Acer,3,3,1,3,15.600000000000001,0.9310344827586208,4,256,4.8411,727,Low,True,False
HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.5868149999999996,1255,Low,True,False
HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.097840987124463,888,Low,False,True
Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.850875,1418,Low,False,True
Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.750625,1396,Low,True,False
HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2567399999999997,1374,Low,True,False
HP,3,1,1,5,15.600000000000001,0.5517241379310345,6,256,4.202954999999999,786,Low,True,False
Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.6015,1023,Low,False,True
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.687065,925,Low,True,False
Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.50125,1371,Low,False,True
Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.6015,1085,Low,False,True
Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.310525,1714,Medium,False,True
HP,3,3,1,5,17.3,0.5517241379310345,8,256,5.50125,1172,Low,True,False
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,4.097840987124463,1777,Medium,True,False
Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.46456,1256,Low,False,True
HP,3,3,1,7,17.3,0.6206896551724138,8,256,5.50125,1327,Low,True,False
Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.6405999999999996,1841,Medium,True,False
Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0806999999999998,1184,Low,False,True
HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.5868149999999996,1310,Low,True,False
Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5208,1460,Low,True,False
Dell,3,1,2,5,15.600000000000001,0.5517241379310345,8,256,4.8411,860,Low,True,False
Toshiba,4,2,1,7,13.299999999999999,0.8620689655172414,8,256,2.6405999999999996,1731,Medium,True,False
Acer,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.8411,1057,Low,True,False
Asus,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.401,977,Low,True,False
Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5208,1091,Low,True,False
Dell,3,1,2,7,15.600000000000001,0.9310344827586208,16,256,4.097840987124463,1142,Low,True,False
Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.50125,1075,Low,False,True
Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.63328,1117,Low,True,False
Asus,1,3,1,7,17.3,1.0,16,256,7.9218,3810,High,True,False
Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.6015,892,Low,False,True
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,3.102705,1206,Low,True,False
Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.511024999999999,1118,Low,True,False
Dell,3,1,2,7,15.600000000000001,0.6206896551724138,8,256,4.097840987124463,934,Low,True,False
Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.50125,1053,Low,False,True
Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,6,256,4.8411,735,Low,True,False
Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.6015,1208,Low,False,True
Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.2909749999999995,1394,Low,False,True
Asus,4,3,1,5,15.600000000000001,0.8620689655172414,8,256,3.7408499999999996,1241,Low,True,False
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.401,2323,Medium,True,False
Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,8,256,4.511024999999999,939,Low,True,False
Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.50125,1244,Low,True,False
Dell,5,3,1,7,17.3,1.0,16,256,7.525709999999999,3665,High,True,False
Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.8411,1325,Low,False,True
Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.42055,1269,Low,False,True
HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.2909749999999995,1245,Low,True,False
HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2567399999999997,1641,Medium,True,False
Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.401,1390,Low,True,False
Asus,4,3,1,7,15.600000000000001,0.9310344827586208,8,256,3.7408499999999996,1334,Low,True,False
HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.77263,1696,Medium,True,False
Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.401,1198,Low,False,True
Asus,1,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.50125,1269,Low,True,False
HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2567399999999997,1611,Low,True,False
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.04892,1453,Low,True,False
Dell,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.401,1452,Low,True,False
Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.6405999999999996,2006,Medium,True,False
HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.04892,1656,Medium,True,False
HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.7213,2208,Medium,True,False
Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.99268,1813,Medium,True,False
Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.401,1200,Low,True,False
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,5.127165,1142,Low,True,False
HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.99268,2223,Medium,False,True
Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.30075,1396,Low,False,True
Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.30075,697,Low,False,True
Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.401,2712,Medium,False,True
MSI,1,3,1,7,17.3,0.9655172413793103,8,256,5.94135,1714,Medium,True,False
Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,5.127165,989,Low,True,False
Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.62105,1562,Low,False,True
Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.180949999999999,1192,Low,False,True
Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.50125,1117,Low,True,False
Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,256,5.06115,761,Low,True,False
HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.146715,1905,Medium,True,False
Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.850875,1544,Low,False,True
HP,3,2,1,7,15.600000000000001,1.0,8,256,5.083155,1813,Medium,True,False
Dell,4,2,2,7,14.0,0.9655172413793103,8,256,3.5208,1396,Low,True,False
Lenovo,3,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0806999999999998,1283,Low,False,True
Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.7408499999999996,761,Low,False,True
Asus,3,2,2,5,15.600000000000001,0.8620689655172414,4,256,4.401,710,Low,True,False
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,4,256,4.8411,951,Low,True,False
Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,2.99268,1815,Medium,False,True
Dell,3,3,1,5,14.0,0.9655172413793103,8,256,3.6088199999999997,1498,Low,True,False
MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.8411,1306,Low,True,False
